Order_ID,Date,Product,Category,Quantity,Unit_Price,Total_Sale,Region,Customer_ID,Payment_Method
1001,2024-01-01,Laptop,Electronics,2,999.99,1999.98,North,C001,Credit Card
1002,2024-01-02,Phone,Electronics,5,599.99,2999.95,South,C002,Debit Card
1003,2024-01-03,Headphones,Electronics,10,199.99,1999.90,East,C003,PayPal
1004,2024-01-04,Shoes,Fashion,8,79.99,639.92,West,C004,Credit Card
1005,2024-01-05,T-Shirt,Fashion,15,29.99,449.85,North,C005,Debit Card
1006,2024-01-06,Jeans,Fashion,6,89.99,539.94,South,C006,Credit Card
1007,2024-01-07,Coffee Maker,Home,3,149.99,449.97,East,C007,PayPal
1008,2024-01-08,Kettle,Home,7,59.99,419.93,West,C008,Credit Card
1009,2024-01-09,Microwave,Home,2,299.99,599.98,North,C009,Debit Card
1010,2024-01-10,Fan,Home,12,49.99,599.88,South,C010,Credit Card
1011,2024-01-11,Book,Media,20,19.99,399.80,East,C011,PayPal
1012,2024-01-12,DVD,Media,5,14.99,74.95,West,C012,Debit Card
1013,2024-01-13,Backpack,Accessories,9,69.99,629.91,North,C013,Credit Card
1014,2024-01-14,Watch,Accessories,3,199.99,599.97,South,C014,Credit Card
1015,2024-01-15,Bag,Accessories,4,159.99,639.96,East,C015,PayPal
1016,2024-01-16,Tablet,Electronics,1,599.99,599.99,West,C016,Debit Card
1017,2024-01-17,Speaker,Electronics,6,249.99,1499.94,North,C017,Credit Card
1018,2024-01-18,Camera,Electronics,2,799.99,1599.98,South,C018,PayPal
1019,2024-01-19,Desk Lamp,Home,10,39.99,399.90,East,C019,Credit Card
1020,2024-01-20,Chair,Home,5,199.99,999.95,West,C020,Debit Card
1021,2024-01-21,Shirt,Fashion,14,49.99,699.86,North,C021,Credit Card
1022,2024-01-22,Dress,Fashion,7,99.99,699.93,South,C022,PayPal
1023,2024-01-23,Jacket,Fashion,3,149.99,449.97,East,C023,Debit Card
1024,2024-01-24,Socks,Fashion,25,9.99,249.75,West,C024,Credit Card
1025,2024-01-25,Blanket,Home,6,79.99,479.94,North,C025,Credit Card
1026,2024-01-26,Pillow,Home,8,39.99,319.92,South,C026,Debit Card
1027,2024-01-27,Towel Set,Home,10,49.99,499.90,East,C027,PayPal
1028,2024-01-28,Monitor,Electronics,1,449.99,449.99,West,C028,Credit Card
1029,2024-01-29,Keyboard,Electronics,4,149.99,599.96,North,C029,Debit Card
1030,2024-01-30,Mouse,Electronics,8,49.99,399.92,South,C030,Credit Card
